Sample Number:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Group Code:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Wavenumbers,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Arabica,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta,Robusta
810.548,21.22761979,10.36424268,13.11832444,15.66840884,16.63495952,13.16534882,12.60723223,16.10922758,13.56993291,14.67020411,13.83062045,14.61936641,17.21475567,13.43829441,11.71525592,13.60074016,11.37853822,13.66406393,11.4136953,11.70821215,8.677180375,11.47612545,11.35986593,12.85813658,12.54576061,12.23236982,8.919857545,8.586264121,11.60237907,12.84792365,11.96582115,11.56224019,14.72062864,14.10808144,9.859574269,11.28165614,18.72026787,14.56918603,12.05972834,12.53555283,11.55638652,16.47230887,15.05101311,13.30841652,11.69257612,10.44161265,11.71916759,9.106253982,8.343802657,9.425892805,10.11760123,8.962248884,10.64082482,10.7494047,10.24020041,10.91880607
814.408,21.83750917,10.56955401,13.50708386,15.80386848,17.05526334,13.58740534,13.27727227,16.34067596,13.72290689,14.95986297,14.03841074,14.56004375,17.95638247,13.6873543,11.78272172,14.27858472,11.65035349,14.02417318,11.57910305,12.18902672,8.913964475,11.65888971,11.34966027,13.14943143,12.78621337,12.41704997,9.069150327,8.739995478,11.77754374,13.19835832,12.22928088,11.72684686,14.84984812,14.47633745,10.04426537,11.63945281,18.76714021,14.97873797,11.96884651,12.9756472,11.94841856,16.70890776,15.85350584,13.54352404,12.05077858,10.96516311,11.82945802,9.243098876,8.425414627,9.86365095,10.25910167,9.345451483,11.13920059,10.90005154,10.45899096,11.37172994
818.268,22.72997487,10.44887452,13.47349516,15.97760653,17.61049509,13.99858385,13.17792276,16.39799406,13.89180767,14.86250654,14.10737963,14.59637039,17.81536878,14.09091785,11.95549691,14.39072487,11.64361654,13.94683711,11.38554318,12.11510136,8.85629406,11.72957721,11.12876404,12.7400422,12.72484233,12.43076056,8.96262411,8.610452245,12.06818745,13.07441016,12.02643785,11.33744404,14.82216226,14.51678254,10.02034694,11.72189391,18.73187498,15.22486619,11.84860916,12.91683084,11.84786772,17.18363326,16.07825374,13.21144113,11.92324184,11.04879582,12.01596934,9.305462673,8.281403222,9.854026689,10.16585294,9.281157939,11.07029305,10.76243519,10.43644326,11.27420943
822.128,22.51766332,10.10069637,12.87142757,15.56948928,17.21159357,13.47687568,12.5708922,16.09307539,13.5254175,14.32866698,13.76360427,14.19679925,17.20888985,13.74217971,11.46494976,13.61543668,11.11225574,13.53934405,10.98109868,11.46126325,8.522144311,11.58032865,10.66128946,12.18230452,12.20074972,11.84260009,8.704640537,8.141056615,11.78237705,12.62261477,11.81355493,10.76198736,14.31573225,14.07463066,9.6988285,11.25167246,18.61651301,14.71350121,11.40507046,12.24730265,11.29010612,17.02898165,16.00668513,12.90553238,11.42110968,10.74824479,11.65252847,9.130743632,7.897149675,9.509302346,9.810641616,8.781616493,10.59785449,10.22824475,10.06788196,10.79297126
825.988,21.04017788,9.620371068,12.18191852,14.95042289,16.21789739,12.57761267,11.81890734,15.66042306,12.86565997,13.42612699,12.77286022,13.57183142,16.32428561,12.87039987,10.60419528,13.0037075,10.40133427,12.99055128,10.1864187,10.62478669,8.017448175,10.90168101,10.18154494,11.24597572,11.42144596,10.95382004,8.122529287,7.500996936,11.00573174,12.00883956,11.39254439,10.30936682,13.38916788,13.21793419,9.14958318,10.48700922,17.7728619,13.85601736,10.67877102,11.61906085,10.67623022,15.65349253,15.12802072,12.36655456,10.92413631,10.08096776,10.86456952,8.709046846,7.388506557,8.851642659,9.164670674,8.26363249,9.987684053,9.563643863,9.505864539,9.99784716
829.848,19.25630567,8.882498747,11.23947971,14.02959867,15.2877505,11.98994468,11.02880089,14.80206502,11.90351125,12.40479262,12.03922343,13.05683571,15.13221678,12.02563507,9.784396776,12.35429789,9.800227038,12.31707726,9.483133008,9.845979033,7.433975454,10.14784534,9.498516416,10.28180398,10.58428113,10.22993054,7.483180727,6.936135288,10.42059912,11.04303791,10.53886782,9.668667518,12.69072523,12.46689443,8.614696573,9.807705248,16.26460009,12.77000594,9.872647125,10.99601529,9.942416571,14.60845837,14.09523062,11.60453583,10.25001511,9.383582099,10.31893807,8.115315224,6.85622406,8.167721833,8.518582601,7.707634976,9.302932266,9.004845012,8.900372672,9.21840518
833.708,18.51798162,8.415528792,10.51567153,13.39673949,14.42413258,11.2436,10.50691792,13.95258924,11.05814729,11.52439383,11.41400103,12.35266979,14.64072928,11.45100165,9.16527566,11.71046174,9.259463404,11.83840121,8.956300294,9.528569361,7.121068085,9.642217906,8.91329866,9.721149436,9.881521396,9.598286225,7.093344514,6.630211071,9.949173235,10.34771279,9.852058286,9.126635778,12.10683902,11.72480003,8.232289412,9.138693806,15.73400948,11.99507776,9.177415312,10.27708769,9.314396676,13.96897629,13.44988687,11.1019766,9.513075687,8.909959751,9.724079885,7.530466361,6.469506136,7.721125857,8.04266081,7.190747073,8.717140094,8.581591254,8.447360548,8.765989287
837.568,18.34777311,8.210217462,10.46817847,13.09236044,13.92892074,10.69245883,10.02819136,13.5678878,10.73766275,11.13371085,10.76464457,11.84175246,14.33566597,11.09779157,8.919705408,11.42634649,8.872789019,11.24824897,8.644695011,9.187626694,6.964407752,9.443600374,8.667432236,9.434960356,9.552944149,9.105029876,6.920057837,6.40502599,9.704734733,10.00906702,9.375785876,8.956755592,11.45898858,11.07070855,8.017867906,8.676863888,15.82027458,11.6294825,8.85794721,9.834790112,9.086450034,13.47336594,13.01582426,10.80206884,9.153216981,8.603771275,9.256357322,7.242990932,6.24460018,7.433291038,7.818893843,6.97099914,8.380014702,8.27343094,8.255537864,8.565106572
